ipAddress,countryCode,abuseConfidenceScore,lastReportedAt
220.132.20.5,TW,100,2023-04-16T03:17:01+00:00
216.218.206.101,US,100,2023-04-16T03:17:01+00:00
211.253.170.241,KR,100,2023-04-16T03:17:01+00:00
193.35.18.142,NL,100,2023-04-16T03:17:01+00:00
184.105.247.218,US,100,2023-04-16T03:17:01+00:00
184.105.139.118,US,100,2023-04-16T03:17:01+00:00
184.105.139.89,US,100,2023-04-16T03:17:01+00:00
180.119.69.81,CN,100,2023-04-16T03:17:01+00:00
180.117.53.17,CN,100,2023-04-16T03:17:01+00:00
143.42.49.207,US,100,2023-04-16T03:17:01+00:00
121.5.66.231,CN,100,2023-04-16T03:17:01+00:00
118.172.175.198,TH,100,2023-04-16T03:17:01+00:00
114.33.179.189,TW,100,2023-04-16T03:17:01+00:00
112.119.97.157,HK,100,2023-04-16T03:17:01+00:00
107.189.31.134,LU,100,2023-04-16T03:17:01+00:00
103.53.31.171,IN,100,2023-04-16T03:17:01+00:00
90.39.149.189,FR,100,2023-04-16T03:17:01+00:00
87.236.176.251,GB,100,2023-04-16T03:17:01+00:00
75.181.80.225,US,100,2023-04-16T03:17:01+00:00
74.82.47.52,US,100,2023-04-16T03:17:01+00:00
